contaminant_to_wanted_shot_weight_ratio,threshold_fano_for_sql_crossing,R_F_1,dB_F_1,R_F_2,dB_F_2,R_F_4p2565,dB_F_4p2565
0.37,3.3405405405405406,0.3678832116788321,-4.342900307108815,0.637956204379562,-1.9520913452200375,1.2473759124087591,0.9599735330420789
0.3725,3.3248322147651006,0.36903460837887064,-4.329329034258303,0.6404371584699453,-1.9352347804835766,1.2528570127504557,0.9790150825117541
0.375,3.3093333333333335,0.37018181818181817,-4.315849158295228,0.6429090909090909,-1.9185043315320838,1.2583181818181821,0.9979047190061296
0.3775,3.2940397350993376,0.3713248638838476,-4.302459694756436,0.6453720508166969,-1.9018984655360895,1.2637595281306717,1.01664442980046
0.38,3.2789473684210524,0.37246376811594206,-4.289159674059607,0.6478260869565218,-1.8854156760531882,1.2691811594202902,1.0352361651651223
0.3825,3.2640522875816993,0.3735985533453887,-4.275948141210966,0.6502712477396022,-1.8690544824350708,1.2745831826401448,1.0536818392670526
0.385,3.2493506493506494,0.3747292418772563,-4.262824155520095,0.6527075812274369,-1.85281342925104,1.2799657039711192,1.0719833310440068
0.3875,3.2348387096774194,0.3758558558558559,-4.249786790321641,0.6551351351351352,-1.8366910857274634,1.2853288288288294,1.0901424850526114
0.39,3.2205128205128206,0.376978417266187,-4.236835132703685,0.6575539568345323,-1.820686045202637,1.2906726618705038,1.1081611122911401
0.3925,3.2063694267515923,0.378096947935368,-4.223968283242613,0.6599640933572711,-1.8047969245965523,1.2959973070017956,1.1260409909979439
0.395,3.192405063291139,0.3792114695340502,-4.2111853557443055,0.6623655913978495,-1.7890223638950966,1.3013028673835128,1.1437838674263363
0.3975,3.178616352201258,0.3803220035778176,-4.198485476991452,0.6647584973166369,-1.7733610256481906,1.306589445438283,1.1613914565968202
0.4,3.165,0.38142857142857145,-4.185867786496816,0.6671428571428573,-1.757811594481446,1.311857142857143,1.1788654430274033
0.4025,3.151552795031056,0.38253119429590016,-4.173331436262291,0.6695187165775401,-1.7423727766208807,1.317106060606061,1.1962074814427888
0.405,3.1382716049382715,0.38362989323843416,-4.160875590543601,0.6718861209964413,-1.7270432994302973,1.3223362989323848,1.2134191974631516
0.40750000000000003,3.1251533742331286,0.3847246891651866,-4.148499425620446,0.6742451154529308,-1.7118219109609114,1.3275479573712259,1.2305021882732128
0.41000000000000003,3.112195121951219,0.38581560283687943,-4.136202129572,0.676595744680851,-1.6967073795128478,1.3327411347517732,1.247458023272279
0.41250000000000003,3.099393939393939,0.3869026548672566,-4.123982902057546,0.6789380530973451,-1.6816984932081256,1.33791592920354,1.2642882447058899
0.41500000000000004,3.0867469879518072,0.38798586572438165,-4.111840954102171,0.6812720848056537,-1.6667940595747828,1.3430724381625443,1.280994368279695
0.4175,3.074251497005988,0.3890652557319224,-4.0997755078873475,0.6835978835978835,-1.651992905141789,1.3482107583774252,1.2975778837561638
0.42,3.061904761904762,0.39014084507042257,-4.087785796546267,0.6859154929577465,-1.6372938750444097,1.3533309859154932,1.3140402555346848
0.4225,3.0497041420118345,0.3912126537785589,-4.075871063963817,0.6882249560632689,-1.6226958326397092,1.3584332161687172,1.3303829232156201
0.425,3.0376470588235294,0.3922807017543859,-4.064030564581058,0.6905263157894737,-1.608197659131875,1.3635175438596494,1.3466073021488385
0.4275,3.0257309941520467,0.3933450087565674,-4.052263563204091,0.6928196147110333,-1.5937982532070627,1.3685840630472859,1.3627147839672296
0.43,3.013953488372093,0.3944055944055945,-4.040569334817194,0.6951048951048951,-1.5794965306774846,1.3736328671328675,1.3787067371057025
0.4325,3.002312138728324,0.39546247818499125,-4.028947164400115,0.6973821989528796,-1.5652914241344529,1.3786640488656197,1.3945845073061283
0.435,2.9908045977011497,0.39651567944250865,-4.0173963467494005,0.6996515679442509,-1.551181882610106,1.3836777003484322,1.410349418108687
0.4375,2.9794285714285715,0.39756521739130435,-4.005916186303676,0.7019130434782608,-1.5371668712475763,1.3886739130434784,1.4260027713300472
0.44,2.9681818181818183,0.3986111111111112,-3.9945059969727605,0.7041666666666667,-1.5232453709793246,1.3936527777777783,1.4415458475288088
0.4425,2.957062146892655,0.39965337954939345,-3.9831651019705117,0.706412478336222,-1.5094163782134253,1.3986143847487007,1.4569799064586044
0.445,2.946067415730337,0.4006920415224913,-3.971892833651305,0.7086505190311418,-1.4956789045275474,1.403558823529412,1.4723061875092605
0.4475,2.935195530726257,0.401727115716753,-3.9606885333500657,0.710880829015544,-1.4820319763704093,1.408486183074266,1.4875259101363785
0.45,2.924444444444444,0.40275862068965523,-3.9495515512257535,0.7131034482758621,-1.4684746347705115,1.4133965517241383,1.5026402742797098
0.4525,2.9138121546961324,0.4037865748709122,-3.938481246108203,0.7153184165232358,-1.4550059350519093,1.4182900172117043,1.517650460770664
0.455,2.903296703296703,0.40481099656357383,-3.927476985348245,0.7175257731958763,-1.4416249465568274,1.423166666666667,1.532557631729299
0.4575,2.892896174863388,0.4058319039451115,-3.916538144671025,0.7197255574614064,-1.428330752374939,1.4280265866209265,1.547362930951108
0.46,2.882608695652174,0.4068493150684932,-3.9056641080324352,0.7219178082191782,-1.4151224490790923,1.432869863013699,1.5620674842839093
0.4625,2.8724324324324324,0.4078632478632479,-3.8948542674785736,0.7241025641025642,-1.4019991464673298,1.4376965811965816,1.576672399995159
0.465,2.8623655913978494,0.40887372013651874,-3.884108023008169,0.7262798634812286,-1.388959967310989,1.4425068259385667,1.5911787691299568
0.4675,2.8524064171122996,0.40988074957410564,-3.873424782437885,0.7284497444633731,-1.3760040471087407,1.4473006814310057,1.6055876658600474
